,PUBLIC PEACE VIOLATION,KIDNAPPING,BURGLARY,CRIMINAL DAMAGE,WEAPONS VIOLATION,OBSCENITY,ARSON,NARCOTICS,SEX OFFENSE,INTIMIDATION,BATTERY,STALKING,ASSAULT,CRIM SEXUAL ASSAULT,commu_area,violent_crime
0,142,9,657,1602,172,3,17,1322,77,9,2850,9,926,58,1,7853
1,32,7,309,651,11,0,6,126,27,3,624,2,238,13,10,2049
2,17,2,381,582,15,1,4,203,9,3,589,7,186,7,11,2006
3,7,3,281,268,2,0,2,47,4,0,166,2,68,3,12,853
4,15,3,391,420,16,2,1,130,16,2,370,3,137,12,13,1518
5,83,5,701,1220,69,0,21,584,43,8,1590,3,447,32,14,4806
6,79,12,1051,1585,79,0,19,855,47,8,1910,8,676,31,15,6360
7,160,6,1157,1593,58,0,17,660,50,5,1899,11,551,43,16,6210
8,24,10,666,880,17,1,6,252,25,2,874,2,357,14,17,3130
9,14,2,271,334,11,0,3,93,9,1,359,1,121,5,18,1224
10,150,14,1644,2366,185,2,53,1462,70,17,3233,9,1091,92,19,10388
11,83,9,1041,1664,78,3,15,724,43,5,2013,8,683,46,2,6415
12,77,6,530,701,76,1,22,537,22,1,1169,4,386,36,20,3568
13,68,6,894,1091,48,1,23,490,31,5,1430,7,506,42,21,4642
14,128,12,1975,2319,95,0,37,869,56,9,2961,18,907,76,22,9462
15,244,28,1598,2803,402,4,77,7930,73,16,6091,12,1895,118,23,21291
16,155,14,2590,3439,135,1,28,1294,93,13,3673,18,1343,80,24,12876
17,511,51,3257,5199,754,5,89,14906,156,17,12260,15,3656,253,25,41129
18,88,9,652,1345,235,0,30,5664,33,4,3589,3,1001,63,26,12716
19,119,18,718,1508,212,2,24,4425,36,11,3737,14,1214,59,27,12097
20,244,12,1054,2398,127,3,4,1489,99,10,3730,19,1454,102,28,10745
21,261,10,1472,2665,427,2,44,7213,67,12,6431,16,1802,134,29,20556
22,117,5,576,1209,100,3,9,1914,65,7,2076,10,803,75,3,6969
23,611,18,883,2001,186,1,39,1567,70,37,3337,10,1117,81,30,9958
24,293,6,515,1326,116,1,20,815,33,7,1607,8,635,34,31,5416
25,184,7,294,844,30,3,1,713,79,16,1781,29,878,63,32,4922
26,25,6,215,482,14,1,6,124,7,1,695,8,267,19,33,1870
27,25,3,138,454,27,1,5,198,11,4,637,2,195,6,34,1706
28,59,6,258,687,50,1,1,651,22,3,1694,7,629,39,35,4107
29,21,1,107,270,29,0,0,124,10,1,494,2,170,11,36,1240
30,20,1,139,300,68,0,2,425,7,7,552,1,224,6,37,1752
31,97,8,624,1340,131,1,5,1667,27,2,2656,6,1011,52,38,7627
32,29,3,334,632,46,1,4,321,14,2,937,6,364,19,39,2712
33,47,9,554,886,27,0,2,325,39,3,1022,3,335,26,4,3278
34,82,7,759,1098,184,0,13,1361,25,1,2429,0,740,45,40,6744
35,19,3,443,589,14,1,3,190,22,1,647,5,312,32,41,2281
36,225,16,1053,1559,293,3,17,2198,47,6,3221,8,1095,59,42,9800
37,209,17,3742,3723,414,1,38,3277,75,8,7127,8,2262,144,43,21045
38,126,13,1478,1997,294,2,22,2042,33,10,3877,15,1364,103,44,11376
39,59,4,414,557,75,0,1,246,10,2,979,3,409,24,45,2783
40,220,17,1799,2231,350,1,33,1850,61,8,4171,4,1579,72,46,12396
41,11,2,196,179,20,0,7,127,3,1,255,0,99,4,47,904
42,29,6,523,717,91,1,3,240,9,4,866,5,300,22,48,2816
43,203,20,2031,2913,483,1,41,3344,54,6,5322,8,1879,119,49,16424
44,31,5,687,679,14,0,7,170,21,5,542,8,193,21,5,2383
45,35,3,212,394,58,0,4,177,13,8,751,5,333,15,50,2008
46,57,3,503,930,115,0,11,467,12,7,1349,4,589,33,51,4080
47,91,10,399,942,62,0,10,451,17,5,917,0,396,23,52,3323
48,123,12,1410,2019,401,0,38,2066,37,5,3296,9,1258,86,53,10760
49,37,5,240,596,68,1,7,262,18,0,1380,2,516,35,54,3167
50,29,0,159,348,23,0,5,136,5,1,394,3,173,10,55,1286
51,61,9,654,1046,30,0,15,698,31,3,926,4,368,21,56,3866
52,34,7,347,620,30,0,10,190,11,1,479,1,151,14,57,1895
53,162,16,791,1345,103,3,25,622,59,6,1775,10,549,42,58,5508
54,37,4,266,600,41,2,11,285,16,1,615,3,211,15,59,2107
55,193,5,1628,2073,52,2,9,802,75,10,2829,12,679,71,6,8440
56,60,5,553,1135,34,3,10,302,30,7,1027,8,410,15,60,3599
57,289,15,1302,2095,409,1,49,3095,65,10,4157,1,1396,70,61,12954
58,44,1,433,700,25,1,6,241,21,1,523,7,194,9,62,2206
59,213,7,666,1351,134,2,27,968,72,7,1633,3,495,42,63,5620
60,32,3,370,673,18,2,7,160,19,6,651,2,230,11,64,2184
61,41,10,701,1032,36,2,13,303,33,3,897,6,323,29,65,3429
62,436,31,2213,2694,424,1,47,3449,80,6,4862,10,1615,117,66,15985
63,335,30,2265,3058,662,2,43,3859,65,14,6474,11,1993,135,67,18946
64,318,16,1769,2670,506,2,50,2900,65,11,6198,8,1905,156,68,16574
65,211,18,1610,2421,451,3,25,2942,58,5,5457,8,1752,124,69,15085
66,64,8,1289,1591,13,1,5,271,44,2,1200,12,372,46,7,4918
67,114,11,925,1231,86,2,7,515,33,1,1234,3,540,32,70,4734
68,231,24,2057,2766,493,0,39,3772,71,13,5711,12,1879,139,71,17207
69,24,4,321,438,12,0,3,93,8,4,395,2,196,5,72,1505
70,104,11,907,1380,199,0,12,1193,28,2,2111,4,778,59,73,6788
71,15,21,87,339,3,1,2,70,5,1,328,4,144,10,74,1030
72,59,10,599,901,95,1,11,660,26,5,1396,1,545,28,75,4337
73,40,0,70,361,12,1,1,574,20,0,463,1,181,5,76,1729
74,67,1,678,894,54,0,6,445,48,2,1513,5,485,38,77,4236
75,232,9,710,1805,86,0,6,973,78,9,3794,25,1002,110,8,8839
76,3,2,66,181,0,0,2,17,6,0,195,1,42,2,9,517
